Iso3,StartDate,EndDate,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
IDN,1988-01-01,1988-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1988,1988,LCU,4.919000,Fc
IDN,1989-01-01,1989-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1989,1989,LCU,5.323900,Fc
IDN,1990-01-01,1990-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1990,1990,LCU,5.745200,Fc
IDN,1991-01-01,1991-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1991,1991,LCU,5.747000,Fc
IDN,1992-01-01,1992-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1992,1992,LCU,5.982700,Fc
IDN,1993-01-01,1993-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1993,1993,LCU,6.683700,Fc
IDN,1994-01-01,1994-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1994,1994,LCU,7.144100,Fc
IDN,1995-01-01,1995-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1995,1995,LCU,7.684700,Fc
IDN,1996-01-01,1996-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1996,1996,LCU,8.187300,Fc
IDN,1997-01-01,1997-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1997,1997,LCU,8.499500,Fc
IDN,1998-01-01,1998-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1998,1998,LCU,17.353900,Fc
IDN,1999-01-01,1999-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1999,1999,LCU,19.296300,Fc
IDN,2000-01-01,2000-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2000,2000,LCU,20.627700,Fc
IDN,2001-01-01,2001-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2001,2001,LCU,22.739900,Fc
IDN,2002-01-01,2002-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2002,2002,LCU,23.738300,Fc
IDN,2003-01-01,2003-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2003,2003,LCU,26.184600,Fc
IDN,2004-01-01,2004-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2004,2004,LCU,29.958200,Fc
IDN,2005-01-01,2005-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2005,2005,LCU,34.380600,Fc
IDN,2006-01-01,2006-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2006,2006,LCU,41.171100,Fc
IDN,2007-01-01,2007-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2007,2007,LCU,46.064900,Fc
IDN,2008-01-01,2008-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2008,2008,LCU,57.257000,Fc
IDN,2009-01-01,2009-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2009,2009,LCU,70.541300,Fc
IDN,2010-01-01,2010-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2010,2010,LCU,76.979000,Fc
IDN,2011-01-01,2011-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2011,2011,LCU,81.483900,Fc
IDN,2012-01-01,2012-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2012,2012,LCU,85.850200,Fc
IDN,2013-01-01,2013-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2013,2013,LCU,88.495900,Fc
IDN,2014-01-01,2014-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2014,2014,LCU,95.427900,Fc
IDN,2015-01-01,2015-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2015,2015,LCU,100.000000,Fc
