Iso3,StartDate,EndDate,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
IDN,2018-03-01,2018-03-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2018,2018,7003,March,LCU,58536130.500000,
IDN,2018-04-01,2018-04-30,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2018,2018,7004,April,LCU,58553554.000000,
IDN,2018-05-01,2018-05-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2018,2018,7005,May,LCU,58710716.400000,
IDN,2018-06-01,2018-06-30,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2018,2018,7006,June,LCU,59339824.200000,
IDN,2018-07-01,2018-07-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2018,2018,7007,July,LCU,59447177.300000,
IDN,2018-08-01,2018-08-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2018,2018,7008,August,LCU,60231374.800000,
IDN,2018-09-01,2018-09-30,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2018,2018,7009,September,LCU,60066294.600000,
IDN,2018-10-01,2018-10-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2018,2018,7010,October,LCU,59943243.400000,
IDN,2018-11-01,2018-11-30,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2018,2018,7011,November,LCU,60020334.600000,
IDN,2018-12-01,2018-12-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2018,2018,7012,December,LCU,60027679.800000,
IDN,2019-01-01,2019-12-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2019,2019,7021,Annual value,LCU,59445758.500000,
IDN,2019-01-01,2019-01-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2019,2019,7001,January,LCU,58053207.500000,
IDN,2019-02-01,2019-02-28,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2019,2019,7002,February,LCU,58278720.900000,
IDN,2019-03-01,2019-03-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2019,2019,7003,March,LCU,58545340.300000,
IDN,2019-04-01,2019-04-30,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2019,2019,7004,April,LCU,58359249.400000,
IDN,2019-05-01,2019-05-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2019,2019,7005,May,LCU,58995678.300000,
IDN,2019-06-01,2019-06-30,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2019,2019,7006,June,LCU,59238416.300000,
